#lev      x           d          u          P
  9  9.28711E-01  2.656E-01  9.274E-01  3.031E-01
 10  9.30176E-01  2.656E-01  9.274E-01  3.031E-01
 10  9.31152E-01  2.656E-01  9.275E-01  3.031E-01
 10  9.32129E-01  2.656E-01  9.275E-01  3.031E-01
 10  9.33105E-01  2.656E-01  9.275E-01  3.031E-01
 10  9.34082E-01  2.656E-01  9.275E-01  3.031E-01
 11  9.34814E-01  2.656E-01  9.275E-01  3.031E-01
 11  9.35303E-01  2.656E-01  9.275E-01  3.031E-01
 11  9.35791E-01  2.656E-01  9.275E-01  3.031E-01
 11  9.36279E-01  2.656E-01  9.275E-01  3.031E-01
 12  9.36646E-01  2.656E-01  9.275E-01  3.031E-01
 12  9.36890E-01  2.656E-01  9.275E-01  3.031E-01
 12  9.37134E-01  2.656E-01  9.275E-01  3.031E-01
 12  9.37378E-01  2.656E-01  9.275E-01  3.031E-01
 12  9.37622E-01  2.656E-01  9.274E-01  3.032E-01
 12  9.37866E-01  2.656E-01  9.276E-01  3.031E-01
 13  9.38049E-01  2.656E-01  9.274E-01  3.032E-01
 13  9.38171E-01  2.656E-01  9.274E-01  3.032E-01
 13  9.38293E-01  2.656E-01  9.275E-01  3.031E-01
 13  9.38416E-01  2.655E-01  9.277E-01  3.031E-01
 14  9.38507E-01  2.656E-01  9.273E-01  3.032E-01
 14  9.38568E-01  2.656E-01  9.274E-01  3.032E-01
 14  9.38629E-01  2.656E-01  9.275E-01  3.031E-01
 14  9.38690E-01  2.656E-01  9.274E-01  3.032E-01
 14  9.38751E-01  2.656E-01  9.273E-01  3.032E-01
 14  9.38812E-01  2.656E-01  9.272E-01  3.032E-01
 15  9.38858E-01  2.655E-01  9.278E-01  3.031E-01
 15  9.38889E-01  2.651E-01  9.302E-01  3.025E-01
 15  9.38919E-01  2.666E-01  9.258E-01  3.047E-01
 15  9.38950E-01  2.647E-01  9.225E-01  3.019E-01
 15  9.38980E-01  2.153E-01  6.762E-01  2.260E-01
 15  9.39011E-01  1.313E-01  5.758E-02  1.074E-01
 15  9.39041E-01  1.250E-01  3.688E-04  1.000E-01
 15  9.39072E-01  1.250E-01  2.120E-06  1.000E-01
 15  9.39102E-01  1.250E-01  9.748E-09  1.000E-01
 15  9.39133E-01  1.250E-01  3.270E-09  1.000E-01
 14  9.39178E-01  1.250E-01  0.000E+00  1.000E-01
 14  9.39240E-01  1.250E-01  0.000E+00  1.000E-01
 14  9.39301E-01  1.250E-01  0.000E+00  1.000E-01
 14  9.39362E-01  1.250E-01  0.000E+00  1.000E-01
 14  9.39423E-01  1.250E-01  0.000E+00  1.000E-01
 13  9.39514E-01  1.250E-01  0.000E+00  1.000E-01
 13  9.39636E-01  1.250E-01  0.000E+00  1.000E-01
 13  9.39758E-01  1.250E-01  0.000E+00  1.000E-01
 13  9.39880E-01  1.250E-01  0.000E+00  1.000E-01
 12  9.40063E-01  1.250E-01  0.000E+00  1.000E-01
 12  9.40308E-01  1.250E-01  0.000E+00  1.000E-01
 12  9.40552E-01  1.250E-01  0.000E+00  1.000E-01
 12  9.40796E-01  1.250E-01  0.000E+00  1.000E-01
 11  9.41162E-01  1.250E-01  0.000E+00  1.000E-01
 11  9.41650E-01  1.250E-01  0.000E+00  1.000E-01
 11  9.42139E-01  1.250E-01  0.000E+00  1.000E-01
 11  9.42627E-01  1.250E-01  0.000E+00  1.000E-01
 11  9.43115E-01  1.250E-01  0.000E+00  1.000E-01
 10  9.43848E-01  1.250E-01  0.000E+00  1.000E-01
 10  9.44824E-01  1.250E-01  0.000E+00  1.000E-01
 10  9.45801E-01  1.250E-01  0.000E+00  1.000E-01
 10  9.46777E-01  1.250E-01  0.000E+00  1.000E-01
  9  9.48242E-01  1.250E-01  0.000E+00  1.000E-01
  9  9.50195E-01  1.250E-01  0.000E+00  1.000E-01
  9  9.52148E-01  1.250E-01  0.000E+00  1.000E-01
  9  9.54102E-01  1.250E-01  0.000E+00  1.000E-01
  9  9.56055E-01  1.250E-01  0.000E+00  1.000E-01
  8  9.58984E-01  1.250E-01  0.000E+00  1.000E-01
  8  9.62891E-01  1.250E-01  0.000E+00  1.000E-01
  8  9.66797E-01  1.250E-01  0.000E+00  1.000E-01
  8  9.70703E-01  1.250E-01  0.000E+00  1.000E-01
  8  9.74609E-01  1.250E-01  0.000E+00  1.000E-01
  7  9.80469E-01  1.250E-01  0.000E+00  1.000E-01
  7  9.88281E-01  1.250E-01  0.000E+00  1.000E-01
  7  9.96094E-01  1.250E-01  0.000E+00  1.000E-01
